,Caudal afluente médio diário (m3/s),FLAG,Caudal afluente médio diário mensal (m3/s),FLAG,Caudal bombeado médio diário (m3/s),FLAG,Caudal descarregado médio diário (m3/s),FLAG,Caudal efluente médio diário (m3/s),FLAG,Caudal transferido horário (m3/s),FLAG,Caudal turbinado médio diário (m3/s),FLAG,Consumo para producão de energia mensal (dam3),FLAG,Consumo para usos diversos mensal (dam3),FLAG,Cota da albufeira (m),FLAG,Cota da albufeira na última hora (m),FLAG,Descarga de fundo mensal (dam3),FLAG,Descarga de superficie mensal (dam3),FLAG,Volume afluente Mensal (dam3),FLAG,Volume armazenado (convencional) (dam3),FLAG,Volume armazenado mensal (final do mês) (dam3),FLAG,Volume armazenado na última hora (dam3),FLAG,
01/01/2023 00:00,222.28,(vau),123.18,(vc),,,168.97,(vau),230.96,(vc),0,,61.99,(vau),,,,,157.31,(vau),,,,,,,329925.31,(vc),,,,,,,
01/01/2023 01:00,,,,,,,,,,,0,,,,,,,,157.12,(vau),,,,,,,,,,,,,,,
01/01/2023 02:00,,,,,,,,,,,0,,,,,,,,156.99,(vau),,,,,,,,,,,,,,,
01/01/2023 03:00,,,,,,,,,,,0,,,,,,,,156.77,(vau),,,,,,,,,,,,,,,
01/01/2023 04:00,,,,,,,,,,,0,,,,,,,,156.62,(vau),,,,,,,,,,,,,,,
01/01/2023 05:00,,,,,,,,,,,0,,,,,,,,156.32,(vau),,,,,,,,,,,,,,,
01/01/2023 06:00,,,,,,,,,,,0,,,,,,,,156.02,(vau),,,,,,,,,,,,,,,
01/01/2023 07:00,,,,,,,,,,,0,,,,,,,,155.79,(vau),,,,,,,,,,,,,,,
01/01/2023 08:00,,,,,,,,,,,0,,,,,,,,155.63,(vau),,,,,,,,,,,,,,,
01/01/2023 09:00,,,,,,,,,,,0,,,,,,,,155.62,(vau),,,,,,,,,,,,,,,
01/01/2023 10:00,,,,,,,,,,,0,,,,,,,,155.65,(vau),,,,,,,,,,,,,,,
01/01/2023 11:00,,,,,,,,,,,0,,,,,,,,155.64,(vau),,,,,,,,,,,,,,,
01/01/2023 12:00,,,,,,,,,,,0,,,,,,,,155.87,(vau),,,,,,,,,,,,,,,
01/01/2023 13:00,,,,,,,,,,,0,,,,,,,,156.05,(vau),,,,,,,,,,,,,,,
01/01/2023 14:00,,,,,,,,,,,0,,,,,,,,156.19,(vau),,,,,,,,,,,,,,,
01/01/2023 15:00,,,,,,,,,,,0,,,,,,,,156.36,(vau),,,,,,,,,,,,,,,
01/01/2023 16:00,,,,,,,,,,,0,,,,,,,,156.6,(vau),,,,,,,,,,,,,,,
01/01/2023 17:00,,,,,,,,,,,0,,,,,,,,156.8,(vau),,,,,,,,,,,,,,,
01/01/2023 18:00,,,,,,,,,,,0,,,,,,,,156.85,(vau),,,,,,,,,,,,,,,
01/01/2023 19:00,,,,,,,,,,,0,,,,,,,,156.82,(vau),,,,,,,,,,,,,,,
01/01/2023 20:00,,,,,,,,,,,0,,,,,,,,156.82,(vau),,,,,,,,,,,,,,,
01/01/2023 21:00,,,,,,,,,,,0,,,,,,,,156.84,(vau),,,,,,,,,,,,,,,
01/01/2023 22:00,,,,,,,,,,,0,,,,,,,,156.85,(vau),,,,,,,,,,,,,,,
01/01/2023 23:00,,,,,,,,,,,0,,,,,,,,156.84,(vau),156.84,,,,,,,,,,,,129410,,
02/01/2023 00:00,245.86,(vau),,,,,114.21,(vau),182.21,(vc),0,,68,(vau),,,,,156.79,(vau),,,,,,,,,,,,,,,
02/01/2023 01:00,,,,,,,,,,,0,,,,,,,,156.65,(vau),,,,,,,,,,,,,,,
02/01/2023 02:00,,,,,,,,,,,0,,,,,,,,156.58,(vau),,,,,,,,,,,,,,,
