,Caudal afluente médio diário (m3/s),FLAG,Caudal afluente médio diário mensal (m3/s),FLAG,Caudal bombeado médio diário (m3/s),FLAG,Caudal descarregado médio diário (m3/s),FLAG,Caudal efluente médio diário (m3/s),FLAG,Caudal transferido horário (m3/s),FLAG,Caudal turbinado médio diário (m3/s),FLAG,Consumo para producão de energia mensal (dam3),FLAG,Consumo para usos diversos mensal (dam3),FLAG,Cota da albufeira (m),FLAG,Cota da albufeira na última hora (m),FLAG,Descarga de fundo mensal (dam3),FLAG,Descarga de superficie mensal (dam3),FLAG,Volume afluente Mensal (dam3),FLAG,Volume armazenado (convencional) (dam3),FLAG,Volume armazenado mensal (final do mês) (dam3),FLAG,Volume armazenado na última hora (dam3),FLAG,
01/01/2015 00:00,49.16,(vau),50.3,(vc),,,0,(vau),51.2,(vc),,,51.2,(vau),,,,,,,,,,,,,134723.52,(vc),,,,,,,
01/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.13,,,,,,,,,,,,120960,,
02/01/2015 00:00,53.28,(vau),,,,,0,(vau),59.52,(vc),,,59.52,(vau),,,,,,,,,,,,,,,,,,,,,
02/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.06,,,,,,,,,,,,120620,,
03/01/2015 00:00,50.92,(vau),,,,,0,(vau),50.58,(vc),,,50.58,(vau),,,,,,,,,,,,,,,,,,,,,
03/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.08,,,,,,,,,,,,120720,,
04/01/2015 00:00,52.82,(vau),,,,,0,(vau),42.83,(vc),,,42.83,(vau),,,,,,,,,,,,,,,,,,,,,
04/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.23,,,,,,,,,,,,121450,,
05/01/2015 00:00,62.7,(vau),,,,,0,(vau),66.03,(vc),,,66.03,(vau),,,,,,,,,,,,,,,,,,,,,
05/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.14,,,,,,,,,,,,121010,,
06/01/2015 00:00,52.87,(vau),,,,,0,(vau),50.6,(vc),,,50.6,(vau),,,,,,,,,,,,,,,,,,,,,
06/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.18,,,,,,,,,,,,121210,,
07/01/2015 00:00,56.17,(vau),,,,,0,(vau),62.37,(vc),,,62.37,(vau),,,,,,,,,,,,,,,,,,,,,
07/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.04,,,,,,,,,,,,120520,,
08/01/2015 00:00,56.7,(vau),,,,,0,(vau),54.47,(vc),,,54.47,(vau),,,,,,,,,,,,,,,,,,,,,
08/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.03,,,,,,,,,,,,120480,,
09/01/2015 00:00,46.05,(vau),,,,,0,(vau),47.09,(vc),,,47.09,(vau),,,,,,,,,,,,,,,,,,,,,
09/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,154.99,,,,,,,,,,,,120280,,
10/01/2015 00:00,48.9,(vau),,,,,0,(vau),42.11,(vc),,,42.11,(vau),,,,,,,,,,,,,,,,,,,,,
10/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.04,,,,,,,,,,,,120520,,
11/01/2015 00:00,44.7,(vau),,,,,0,(vau),33.36,(vc),,,33.36,(vau),,,,,,,,,,,,,,,,,,,,,
11/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.24,,,,,,,,,,,,121500,,
12/01/2015 00:00,44.33,(vau),,,,,0,(vau),47.73,(vc),,,47.73,(vau),,,,,,,,,,,,,,,,,,,,,
12/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.18,,,,,,,,,,,,121210,,
13/01/2015 00:00,46.61,(vau),,,,,0,(vau),51.14,(vc),,,51.14,(vau),,,,,,,,,,,,,,,,,,,,,
13/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.1,,,,,,,,,,,,120820,,
14/01/2015 00:00,50.09,(vau),,,,,0,(vau),36.17,(vc),,,36.17,(vau),,,,,,,,,,,,,,,,,,,,,
14/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.32,,,,,,,,,,,,121900,,
15/01/2015 00:00,58.59,(vau),,,,,0,(vau),44.65,(vc),,,44.65,(vau),,,,,,,,,,,,,,,,,,,,,
15/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.51,,,,,,,,,,,,122830,,
16/01/2015 00:00,48.53,(vau),,,,,0,(vau),65.22,(vc),,,65.22,(vau),,,,,,,,,,,,,,,,,,,,,
16/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.26,,,,,,,,,,,,121600,,
17/01/2015 00:00,41.28,(vau),,,,,0,(vau),57.29,(vc),,,57.29,(vau),,,,,,,,,,,,,,,,,,,,,
17/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.02,,,,,,,,,,,,120430,,
18/01/2015 00:00,54.44,(vau),,,,,0,(vau),49.91,(vc),,,49.91,(vau),,,,,,,,,,,,,,,,,,,,,
18/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.1,,,,,,,,,,,,120820,,
19/01/2015 00:00,50.27,(vau),,,,,0,(vau),53.11,(vc),,,53.11,(vau),,,,,,,,,,,,,,,,,,,,,
19/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.05,,,,,,,,,,,,120570,,
20/01/2015 00:00,47.16,(vau),,,,,0,(vau),49.99,(vc),,,49.99,(vau),,,,,,,,,,,,,,,,,,,,,
20/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,120330,,
21/01/2015 00:00,49.74,(vau),,,,,0,(vau),43.52,(vc),,,43.52,(vau),,,,,,,,,,,,,,,,,,,,,
21/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.11,,,,,,,,,,,,120870,,
22/01/2015 00:00,52.33,(vau),,,,,0,(vau),43.83,(vc),,,43.83,(vau),,,,,,,,,,,,,,,,,,,,,
22/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.26,,,,,,,,,,,,121600,,
23/01/2015 00:00,46.97,(vau),,,,,0,(vau),47.51,(vc),,,47.51,(vau),,,,,,,,,,,,,,,,,,,,,
23/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.25,,,,,,,,,,,,121550,,
24/01/2015 00:00,33.04,(vau),,,,,0,(vau),31.09,(vc),,,31.09,(vau),,,,,,,,,,,,,,,,,,,,,
24/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.3,,,,,,,,,,,,121800,,
25/01/2015 00:00,45.48,(vau),,,,,0,(vau),44.34,(vc),,,44.34,(vau),,,,,,,,,,,,,,,,,,,,,
25/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.32,,,,,,,,,,,,121900,,
26/01/2015 00:00,45.59,(vau),,,,,0,(vau),50.13,(vc),,,50.13,(vau),,,,,,,,,,,,,,,,,,,,,
26/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.24,,,,,,,,,,,,121500,,
27/01/2015 00:00,44.84,(vau),,,,,0,(vau),52.65,(vc),,,52.65,(vau),,,,,,,,,,,,,,,,,,,,,
27/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.09,,,,,,,,,,,,120770,,
28/01/2015 00:00,44.73,(vau),,,,,0,(vau),40.2,(vc),,,40.2,(vau),,,,,,,,,,,,,,,,,,,,,
28/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.17,,,,,,,,,,,,121160,,
29/01/2015 00:00,43.23,(vau),,,,,0,(vau),43.79,(vc),,,43.79,(vau),,,,,,,,,,,,,,,,,,,,,
29/01/2015 23:00,,,,,,,,,,,,,,,,,,,,,155.16,,,,,,,,,,,,121110,,
30/01/2015 00:00,93.58,(vau),,,,,0,(vau),46,(vc),,,46,(vau),,,,,,,,,,,,,,,,,,,,,
30/01/2015 23:00,,,,,,,,,,,,,,,,,,,155.45,(vco),155.45,(vco),,,,,,,123000,,,,123000,,
31/01/2015 00:00,44.09,(vau),,,,,0,(vau),62.89,(vc),,,62.89,(vau),,,,,,,,,,,,,,,,,,,,,
