feature,importance
water_volume_pct_lag_1,0.02688224
temp_afternoon_C,0.025350671
water_volume_pct_lag_2,0.022775942
temp_min_C_forecast_d4,0.021367425
temp_min_C_forecast_d2,0.020470819
temp_min_C_forecast_d3,0.019414816
temp_min_C_forecast_d5,0.019261906
temp_min_C,0.019231739
water_volume_pct_lag_3,0.018989949
temp_min_K,0.018776868
temp_afternoon_K,0.018380133
temp_min_C_forecast_d1,0.0181963
temp_afternoon_C_forecast_d1,0.017445674
humidity_afternoon,0.01735696
temp_max_C_forecast_d2,0.017276952
temp_min_C_forecast_d6,0.017068187
temp_afternoon_C_forecast_d2,0.0167217
humidity_afternoon_forecast_d7,0.016583351
vol_change_3d_mean,0.016557645
temp_max_C_forecast_d5,0.016447539
wind_max_speed_forecast_d7,0.016395682
precip_7d_sum,0.015962856
precip_30d_sum,0.015958421
temp_min_C_forecast_d7,0.015947994
wind_max_speed_forecast_d3,0.015868416
temp_afternoon_C_forecast_d5,0.015499638
dayofyear,0.015348111
temp_afternoon_C_forecast_d6,0.015329437
wind_max_speed_forecast_d2,0.015084374
temp_afternoon_C_forecast_d3,0.015038735
wind_max_speed_forecast_d6,0.014970824
wind_max_speed,0.014844045
temp_max_C_forecast_d3,0.014785017
temp_max_C_forecast_d4,0.014692009
humidity_afternoon_forecast_d6,0.014470157
wind_max_speed_forecast_d4,0.014416401
water_volume_pct_lag_14,0.014278756
precip_3d_sum,0.014095967
temp_max_C_forecast_d1,0.01408193
water_volume_pct_lag_7,0.014050997
temp_max_C,0.013822781
humidity_afternoon_forecast_d1,0.013811314
temp_afternoon_C_forecast_d4,0.013730472
humidity_afternoon_forecast_d4,0.013674239
wind_max_speed_forecast_d5,0.013518951
humidity_afternoon_forecast_d2,0.013497922
temp_max_C_forecast_d7,0.013354622
vol_change_1d,0.013155445
precip_15d_sum,0.013101762
precip_total_mm_forecast_d3,0.013068295
temp_afternoon_C_forecast_d7,0.013041801
precip_total_mm_forecast_d6,0.013034133
humidity_afternoon_forecast_d3,0.012953797
wind_max_dir,0.012772615
temp_max_K,0.01234015
precip_total_mm_forecast_d5,0.012250565
month,0.012100183
precip_total_mm_forecast_d1,0.012078601
humidity_afternoon_forecast_d5,0.011865695
temp_max_C_forecast_d6,0.011820486
precip_total_mm_forecast_d7,0.01178316
precip_total_mm_forecast_d2,0.011657834
wind_max_speed_forecast_d1,0.011469498
precip_total_mm_forecast_d4,0.01131705
precip_total_mm,0.0091020465
